Name,Phone,Email,Category,Area,Source
"Maruti Suzuki Service Center (Kataria Automobiles)","9909902020","","Auto Repair","Makarpura","gemini-ai"
"Tanishq Jewellery","9227200022","","Jewellers & Jewellery","Makarpura","gemini-ai"
"Lenskart.com","7428742874","","Optical Store","Gorwa","gemini-ai"
"GoMechanic Car Service Vadodara - Sama Savli Road","9311300011","","Auto Repair","Sama Savli Road","gemini-ai"
"Dr. Jigar Patel's Dental Clinic & Implant Center","","drjigarpatel@gmail.com","Dental Clinic","Vasna Bhayli Road","gemini-ai"
"Krishna Auto Garage","9426078901","krishnaautogarage@email.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Lenskart.com Store - Vadodara, Sun Pharma Road","8045684000","","Optical Store","Sun Pharma Road","gemini-ai"
"Anytime Fitness Diwalipura","","diwalipura@anytimefitness.in","Gym & Fitness","Diwalipura","gemini-ai"
"Dr. Jignesh Patel's Pet Clinic","9825166030","","Veterinary Clinic","Diwalipura","gemini-ai"
"Tanishq Jewellery - Ajwa Road, Vadodara","9099039019","","Jewellers & Jewellery","Ajwa Road","gemini-ai"
"Dr. Jignesh Patel's Skin & Hair Clinic","9909991200","","Skin Clinic","Khodiyar Nagar","gemini-ai"
"Wellness Hub Vadodara","9512345678","wellnesshub.vdr@email.com","Yoga & Wellness","Khodiyar Nagar","gemini-ai"
"Lenskart Store - Vadodara, Genda Circle","7827827827","","Optical Store","Genda Circle","gemini-ai"
"The Eatery - Four Points by Sheraton Vadodara","9909900023","","Restaurant & Cafe","Lal Baug","gemini-ai"
"Vadodara Diagnostic Centre","9825032500","vadodaradiagnostic@gmail.com","Diagnostic Center","Panigate","gemini-ai"
"The Brewery","8153800060","","Restaurant & Cafe","Gorwa","zomato"
"O2 Spa","","care@o2spa.org","Salon & Spa","Alkapuri","gemini-ai"
"GoMechanic Car Service Center Vadodara - Gotri","","support@gomechanic.in","Auto Repair","Gotri","gemini-ai"
"Decathlon Vadodara","","customercare.india@decathlon.com","Sports & Recreation","Subhanpura","gemini-ai"
"Gold's Gym Harni","","harni.vadodara@goldsgymindia.com","Gym & Fitness","Harni","gemini-ai"
"Vadodara Institute of Neurological Sciences (VINS Hospital)","","info@vins.co.in","Diagnostic Center","Fatehgunj","gemini-ai"
"Anytime Fitness","","newalkapuri@anytimefitness.in","Gym & Fitness","New Alkapuri","gemini-ai"
"Pet's Care Clinic & Pet Shop","9825500021","","Veterinary Clinic","New Alkapuri","gemini-ai"
"Kataria Automobiles (Maruti Suzuki Service)","9909999000","","Auto Repair","Sayajigunj","gemini-ai"
"Dr. Agarwal's Eye Hospital","7304930929","","Medical Clinic","Sayajigunj","gemini-ai"
"Hair Craft Unisex Salon","9512012345","","Salon & Spa","Vasna","gemini-ai"
"Chic & Sleek Salon","9411012345","","Salon & Spa","Vasna","gemini-ai"
"Urban Touch Salon","9900112233","","Salon & Spa","Bhayli","gemini-ai"
"The Car Spa Bhayli","9374025252","","Auto Repair","Bhayli","gemini-ai"
"Biryani By Kilo","9555212212","","Cloud Kitchen","Manjalpur","gemini-ai"
"Lakme Salon","7947127010","","Beauty Clinic","Waghodia Road","gemini-ai"
"Kataria Automobiles (Maruti Suzuki)","9909977700","","Auto Repair","Old Padra Road","gemini-ai"
"The Arena by VCA","","info@vca.co.in","Sports & Recreation","Old Padra Road","gemini-ai"
"VLCC Healthcare Ltd.","9222222000","","Beauty Clinic","Subhanpura","gemini-ai"
"Advanced Physiotherapy Centre","9979860606","","Medical Clinic","Makarpura","gemini-ai"
"Dr. Anil Gupta's Child Care","9909933445","","Medical Clinic","Makarpura","gemini-ai"
"Lakme Salon Gorwa","9909990590","","Salon & Spa","Gorwa","gemini-ai"
"Anytime Fitness","","gorwa@anytimefitness.in","Sports & Recreation","Gorwa","gemini-ai"
"Fix It Car Repair","9327077889","fixitcar@email.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"The Arena by Sports Club","","info@thearenasportsclub.com","Sports & Recreation","Sun Pharma Road","gemini-ai"
"Lakme Salon","9099070007","","Salon & Spa","Diwalipura","gemini-ai"
"Barbeque Nation","7353700700","","Restaurant & Cafe","Ajwa Road","gemini-ai"
"Biryani By Kilo","9099000919","","Cloud Kitchen","Ajwa Road","gemini-ai"
"The Grand Bhagwati Express (TGB Express)","9099005577","","Restaurant & Cafe","New VIP Road","gemini-ai"
"Dr. Divyesh Patel's Physiotherapy Clinic","9998887770","","Medical Clinic","New VIP Road","gemini-ai"
"The Eatery (Four Points by Sheraton)","7947092999","","Restaurant & Cafe","Sevasi","gemini-ai"
"VLCC Healthcare Ltd","9227277170","","Beauty Clinic","Chhani","gemini-ai"
"Om Yoga & Meditation Classes","9426088990","omyogaclasses@email.com","Yoga & Wellness","Khodiyar Nagar","gemini-ai"
"Mindful Living Yoga","9898077889","mindfullivingyoga@email.com","Yoga & Wellness","Khodiyar Nagar","gemini-ai"
"The Barbeque Nation","9136616000","","Restaurant & Cafe","Pandya Bridge","gemini-ai"
"Kataria Automobiles (Maruti Suzuki Service Center)","9909977000","","Auto Repair","Lal Baug","gemini-ai"
"The Court Yard - Badminton & Pickleball","","courtyard.sports@email.com","Sports & Recreation","Panigate","gemini-ai"
"Anytime Fitness","","sama@anytimefitness.in","Gym & Fitness","Sama","gemini-ai"
"The Barbeque Company","","thebarbequecompanyvadodara@gmail.com","Restaurant & Cafe","Sama","gemini-ai"
"Khausa","","khausa.vadodara@gmail.com","Restaurant & Cafe","Diwalipura","gemini-ai"
"Anytime Fitness Chhani","","chhani@anytimefitness.in","Gym & Fitness","Chhani","gemini-ai"
"The Grand Thakar","","info@thegrandthakar.com","Restaurant & Cafe","New Alkapuri","gemini-ai"
"Behrouz Biryani","","care@rebelfoods.com","Restaurant & Cafe","Karelibaug","gemini-ai"
"Welcare Hospital","","info@welcarehospital.in","Skin Clinic","Alkapuri","gemini-ai"
"Vadodara Plumbing Solutions","9625045678","","Auto Repair","Sayajigunj","gemini-ai"
"Spandan Hospital","","info@spandanhospital.in","Medical Clinic","Karelibaug","gemini-ai"
"Dr. Ketan Patel's ENT Clinic","9825040007","","Medical Clinic","Alkapuri","gemini-ai"
"Dr. Jigar Shah's ENT Clinic","9825040007","","Medical Clinic","Alkapuri","gemini-ai"
"Titan Eyeplus","9227100055","","Optical Store","Gotri","gemini-ai"
"First Cut Unisex Salon","9188012345","","Salon & Spa","Vasna","gemini-ai"
"Style Inn Unisex Salon","9633012345","","Salon & Spa","Vasna","gemini-ai"
"Hair & Beyond Salon","9737012345","","Salon & Spa","Bhayli","gemini-ai"
"Star Car Wash & Detailing","9173010101","","Auto Repair","Bhayli","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9909904499","","Physiotherapy","Manjalpur","gemini-ai"
"Dr. Jigar Patel's Advanced Physiotherapy & Rehabilitation Clinic","9909904262","","Physiotherapy","Nizampura","gemini-ai"
"Dr. Chirag Patel's Physiotherapy Clinic","9979808000","","Physiotherapy","Nizampura","gemini-ai"
"Dr. Aayush Shah's Physiotherapy & Rehabilitation Clinic","9979808000","","Physiotherapy","Nizampura","gemini-ai"
"Looks Unisex Salon","9909999088","","Salon & Spa","Sama","gemini-ai"
"Naturals Salon & Spa","9909909000","","Beauty Clinic","Sama","gemini-ai"
"Vatsalya Pet Clinic","9925232777","","Veterinary Clinic","Waghodia Road","gemini-ai"
"Dr. Hiren Patel's Physiotherapy Clinic","9909904260","","Physiotherapy","Waghodia Road","gemini-ai"
"Lakme Salon","9909904449","","Salon & Spa","Akota","gemini-ai"
"Dr. Pratik Patel's Physiotherapy Clinic","9909904949","","Physiotherapy","Akota","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9825603009","","Physiotherapy","Race Course","gemini-ai"
"PhysioFit Clinic","9909903009","","Physiotherapy","Race Course","gemini-ai"
"Dr. Hitesh Patel Physiotherapy Clinic","9909903009","","Physiotherapy","Race Course","gemini-ai"
"The Gym Old Padra Road","","thegymvadodara@gmail.com","Sports & Recreation","Old Padra Road","gemini-ai"
"Dr. Jigar Patel's Physio Care Clinic","9825633360","","Medical Clinic","Subhanpura","gemini-ai"
"Dr. Agarwal's Eye Hospital","9099090990","","Medical Clinic","Subhanpura","gemini-ai"
"Dr. Hitesh Patel Child Clinic","9825099900","","Medical Clinic","Subhanpura","gemini-ai"
"KFC","9904445000","","Restaurant & Cafe","Makarpura","gemini-ai"
"Dr. Pratik Patel's Physiotherapy Clinic","9909945000","","Medical Clinic","Makarpura","gemini-ai"
"Dr. Pooja Mehta's Physiotherapy","9979811223","","Medical Clinic","Makarpura","gemini-ai"
"Jay Ambe Restaurant","9825116161","","Restaurant & Cafe","Mandvi","gemini-ai"
"Shree Krishna Restaurant","9825116161","","Restaurant & Cafe","Mandvi","gemini-ai"
"Kataria Automobiles (Maruti Suzuki Service)","9909971000","","Auto Repair","Mandvi","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9979007007","","Medical Clinic","Mandvi","gemini-ai"
"Dr. Pratik's Dental Clinic","9909900990","","Dental Clinic","Harni","gemini-ai"
"The Gym Harni","","thegymharni@gmail.com","Gym & Fitness","Harni","gemini-ai"
"The Grand Bhagwati Express (TGB Express)","9909001000","","Restaurant & Cafe","Harni","gemini-ai"
"Dr. Batra's Hair & Skin Clinic","9167916791","","Beauty Clinic","Gorwa","gemini-ai"
"Vision Express","7969049000","","Optical Store","Sama Savli Road","gemini-ai"
"Lakme Salon","9909908880","","Salon & Spa","Vasna Bhayli Road","gemini-ai"
"The Fitness Studio","9825006600","","Gym & Fitness","Vasna Bhayli Road","gemini-ai"
"The Workout Hub","9725055667","","Gym & Fitness","Vasna Bhayli Road","gemini-ai"
"Physiofit Physiotherapy Clinic","9979007007","","Medical Clinic","Vasna Bhayli Road","gemini-ai"
"VLCC Healthcare Ltd.","9099044422","","Beauty Clinic","Sun Pharma Road","gemini-ai"
"Gola Sizzlers","","golasizzlers@gmail.com","Restaurant & Cafe","Diwalipura","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9909907107","","Physiotherapy","Diwalipura","gemini-ai"
"The Urban Salon","9825020002","","Salon & Spa","Ellora Park","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9909987877","","Physiotherapy","Atladara","gemini-ai"
"The Kitchen Story","9909900919","","Cloud Kitchen","Ajwa Road","gemini-ai"
"Dr. Jigar Patel's Physio & Rehab Clinic","9825444888","","Medical Clinic","New VIP Road","gemini-ai"
"Dr. Kinjal Desai's Skin & Hair Clinic","9825444555","","Skin Clinic","Sevasi","gemini-ai"
"Dr. Jigar Patel's Child & Physiotherapy Clinic","9909904422","","Medical Clinic","Chhani","gemini-ai"
"Dr. Jignesh Patel's Dental Clinic & Implant Centre","9825400640","","Dental Clinic","Khodiyar Nagar","gemini-ai"
"Dr. Hitesh Patel's Dental Clinic","9825400640","","Dental Clinic","Khodiyar Nagar","gemini-ai"
"Shree Khodiyar Kathiyawadi Dhaba","9025012345","","Restaurant & Cafe","Khodiyar Nagar","gemini-ai"
"Healthy Habits Nutrition Clinic","9638511223","healthyhabits.vdr@email.com","Yoga & Wellness","Khodiyar Nagar","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9909904481","","Medical Clinic","Pandya Bridge","gemini-ai"
"Dr. Nirav Patel's Physiotherapy Clinic","9825604000","","Medical Clinic","Tandalja","gemini-ai"
"Smile Craft Dental Clinic (Dr. Jigar Patel)","9825034600","","Dental Clinic","Panigate","gemini-ai"
"The Fitness Factory","","thefitnessfactoryvadodara@gmail.com","Gym & Fitness","New Alkapuri","gemini-ai"
"Cult.fit Vasna","","hello@cult.fit","Gym & Fitness","Vasna","gemini-ai"
"Cafe Fitoor","","cafefitoorvadodara@gmail.com","Restaurant & Cafe","Sama","gemini-ai"
"Om Yoga Studio","","omyogastudio.vadodara@gmail.com","Yoga & Wellness","Sama","gemini-ai"
"Dr. Prachi's Skin & Hair Clinic","","prachiskinclinic@gmail.com","Skin Clinic","Race Course","gemini-ai"
"CrossFit Vadodara","","crossfitvadodara@gmail.com","Gym & Fitness","New Alkapuri","gemini-ai"
"Yoga Shala Vadodara","","yogashalavadodara@gmail.com","Yoga & Wellness","Fatehgunj","gemini-ai"
"The Good Bowl","","care@rebelfoods.com","Restaurant & Cafe","Karelibaug","gemini-ai"
"Oven Story Pizza","","care@rebelfoods.com","Restaurant & Cafe","Karelibaug","gemini-ai"
"Titan Eyeplus","9227200021","","Optical Store","Sayajigunj","gemini-ai"
"Lenskart.com Store","7428300283","","Optical Store","Sayajigunj","gemini-ai"
"Naturals Salon & Spa","9909909090","","Beauty Clinic","Karelibaug","gemini-ai"
"VLCC Healthcare Ltd","9377700100","","Beauty Clinic","Vasna","gemini-ai"
"TATA Motors Service Center","9327112345","","Auto Repair","Manjalpur","gemini-ai"
"VLCC Healthcare Ltd.","9825034600","","Beauty Clinic","Sama","gemini-ai"
"Play Arena","","playarenavadodara@gmail.com","Sports & Recreation","Old Padra Road","gemini-ai"
"The Car Hub","9909954321","","Auto Repair","Subhanpura","gemini-ai"
"Hyundai Service Center (Popular Hyundai)","9909903030","","Auto Repair","Makarpura","gemini-ai"
"Tata Motors Service (Concorde Motors)","9909905050","","Auto Repair","Makarpura","gemini-ai"
"Dr. Batra's Hair & Skin Clinic","9229229220","","Beauty Clinic","Harni","gemini-ai"
"Gourmet Treat","9825013131","","Restaurant & Cafe","Gorwa","gemini-ai"
"The Detailing Mafia Vadodara","7878787878","","Auto Repair","Sun Pharma Road","gemini-ai"
"Physiofit Clinic (Dr. Kinjal Patel)","","physiofitclinic.vadodara@gmail.com","Physiotherapy","Sun Pharma Road","gemini-ai"
"Looks Salon","9909999080","","Beauty Clinic","Sun Pharma Road","gemini-ai"
"The Waffle Co.","","info@thewaffleco.in","Restaurant & Cafe","Diwalipura","gemini-ai"
"Advance Dental Care","9925112345","","Dental Clinic","Ajwa Road","gemini-ai"
"Dr. Chirag Solanki - Skin & Hair Clinic","9925124200","","Skin Clinic","Ajwa Road","gemini-ai"
"Food Factory","9909900919","","Cloud Kitchen","Ajwa Road","gemini-ai"
"Dr. Ankit Patel's Dental Clinic","9825042850","","Dental Clinic","Chhani","gemini-ai"
"Foodies Point","9225012345","","Restaurant & Cafe","Khodiyar Nagar","gemini-ai"
"Shree Ram Dhosa & Fast Food","8725012345","","Restaurant & Cafe","Khodiyar Nagar","gemini-ai"
"The Pizza Point","7225012345","","Restaurant & Cafe","Khodiyar Nagar","gemini-ai"
"Sardarji Da Dhaba","7025012345","","Restaurant & Cafe","Khodiyar Nagar","gemini-ai"
"The Yoga Studio","9377066778","theyogastudio.vdr@email.com","Yoga & Wellness","Khodiyar Nagar","gemini-ai"
"Pilates & Core Fitness","9173044556","pilatescore.vdr@email.com","Yoga & Wellness","Khodiyar Nagar","gemini-ai"
"The Yoga House","","theyogahouse.vadodara@gmail.com","Yoga & Wellness","Genda Circle","gemini-ai"
"Om Yoga Studio","","omyogastudio.in@gmail.com","Yoga & Wellness","Tandalja","gemini-ai"
"Jay Ambe Vadapav","9925012346","","Restaurant & Cafe","Lal Baug","gemini-ai"
"Dr. J.P. Parikh's Pet Clinic & Animal Hospital","","drjpparikh@gmail.com","Veterinary Clinic","Lal Baug","gemini-ai"
"Dr. Vatsal's Pet Clinic & Pet Shop","9909900806","","Veterinary Clinic","Panigate","gemini-ai"
"Dr. Pratik Patel's Skin & Laser Clinic","","pratikpatel.skinclinic@gmail.com","Skin Clinic","Sama","gemini-ai"
"Spartan Fitness","","spartanfitness.sama@gmail.com","Gym & Fitness","Sama","gemini-ai"
"Crossfit Vadodara","","crossfitvadodara@gmail.com","Gym & Fitness","Sama","gemini-ai"
"The Iron Paradise Gym","","theironparadisevadodara@gmail.com","Gym & Fitness","Sun Pharma Road","gemini-ai"
"The Gym","","thegymvadodara@gmail.com","Gym & Fitness","Ellora Park","gemini-ai"
"CrossFit Vadodara (Chhani Branch)","","crossfitvadodara@gmail.com","Gym & Fitness","Chhani","gemini-ai"
"Strength & Conditioning Chhani","","strengthconditioning.chhani@gmail.com","Gym & Fitness","Chhani","gemini-ai"
"Lenskart.com","","support@lenskart.com","Optical Store","Tandalja","gemini-ai"
"Looks Salon & Spa","","looks.vadodara@gmail.com","Salon & Spa","Lal Baug","gemini-ai"
"The Gym","","thegymvadodara@gmail.com","Yoga & Wellness","Sayajigunj","gemini-ai"
"Carz Care","9825050007","","Auto Repair","Alkapuri","gemini-ai"
"Shreeji Car Care","9825122200","","Auto Repair","Karelibaug","gemini-ai"
"Carz Care","9909988000","","Auto Repair","Sayajigunj","gemini-ai"
"Looks Salon","9099039020","","Beauty Clinic","Sayajigunj","gemini-ai"
"Style N Scissors Salon","9979067890","","Salon & Spa","Karelibaug","gemini-ai"
"Sai Car Care","9909905500","","Auto Repair","Karelibaug","gemini-ai"
"Dr. Dhaval's Pet Clinic","9825050035","","Veterinary Clinic","Karelibaug","gemini-ai"
"Beauty & Beyond Salon","9537012345","","Salon & Spa","Vasna","gemini-ai"
"Divine Spa & Salon","9988776655","","Salon & Spa","Bhayli","gemini-ai"
"Elite Salon & Spa","9727098765","","Salon & Spa","Bhayli","gemini-ai"
"The Hair Bar","9876598765","","Salon & Spa","Bhayli","gemini-ai"
"Prime Auto Solutions","9879015151","","Auto Repair","Bhayli","gemini-ai"
"Auto Hub Bhayli","9712017171","","Auto Repair","Bhayli","gemini-ai"
"Gujarat Car Repair","9725023232","","Auto Repair","Bhayli","gemini-ai"
"City Car Service","9879029292","","Auto Repair","Bhayli","gemini-ai"
"Drive In Car Service","9099031313","","Auto Repair","Bhayli","gemini-ai"
"The Style Loft","9099044464","","Salon & Spa","Manjalpur","gemini-ai"
"Sterling Accuris Diagnostics","9099080808","","Diagnostic Center","Nizampura","gemini-ai"
"Gold's Gym","","vadodara.sama@goldsgym.in","Gym & Fitness","Sama","gemini-ai"
"Iron Addicts Gym","","ironaddicts.sama@gmail.com","Gym & Fitness","Sama","gemini-ai"
"Perfect Auto Care","9328012345","","Auto Repair","Subhanpura","gemini-ai"
"Dr. Jignesh Patel's Skin & Hair Clinic","","drjigneshpatelclinic@gmail.com","Skin Clinic","Makarpura","gemini-ai"
"Dr. J. P. Patel's Pet Clinic","9825129636","","Veterinary Clinic","Makarpura","gemini-ai"
"Fitness Point Gym","9825475000","","Gym & Fitness","Mandvi","gemini-ai"
"The Fitness Factory","","thefitnessfactoryvadodara@gmail.com","Gym & Fitness","Harni","gemini-ai"
"The Fitness Factory","","thefitnessfactoryindia@gmail.com","Gym & Fitness","Gorwa","gemini-ai"
"Gold's Gym Vadodara","","vadodara@goldsgym.in","Gym & Fitness","Gorwa","gemini-ai"
"Dr. Chirag Patel's Dental Clinic & Implant Center","","drchiragpatel@gmail.com","Dental Clinic","Vasna Bhayli Road","gemini-ai"
"Anytime Fitness Vadodara","","vadodara@anytimefitness.in","Yoga & Wellness","Vasna Bhayli Road","gemini-ai"
"The Gym Vadodara","","thegymvadodara@gmail.com","Gym & Fitness","Sun Pharma Road","gemini-ai"
"Dr. Batra's Hair & Skin Clinic","9328844000","","Beauty Clinic","Sun Pharma Road","gemini-ai"
"Anytime Fitness Atladara","","atladara@anytimefitness.in","Gym & Fitness","Atladara","gemini-ai"
"Carz Care Multi Car Workshop","9909903912","","Auto Repair","Atladara","gemini-ai"
"Sterling Accuris Diagnostics","9099036363","","Diagnostic Center","Atladara","gemini-ai"
"Derma Care Clinic - Dr. Rakesh Patel","9825124200","","Skin Clinic","Ajwa Road","gemini-ai"
"Smile Dental Clinic & Implant Center","","info@smiledentalclinic.in","Dental Clinic","Chhani","gemini-ai"
"The Fitness Factory","","info@thefitnessfactory.in","Gym & Fitness","Chhani","gemini-ai"
"Sterling Accuris Diagnostics","9099036000","","Diagnostic Center","Chhani","gemini-ai"
"SRL Diagnostics","9904004000","","Diagnostic Center","Chhani","gemini-ai"
"The Car Doctor","9879054321","","Auto Repair","Khodiyar Nagar","gemini-ai"
"Body & Soul Fitness Studio (Yoga focus)","9227011223","bodysoulfitness@email.com","Yoga & Wellness","Khodiyar Nagar","gemini-ai"
"Inner Peace Meditation Center","9408077889","innerpeace.vdr@email.com","Yoga & Wellness","Khodiyar Nagar","gemini-ai"
"Dr. Jignesh Patel's Physiotherapy Clinic","9825045050","drjigneshphysio@gmail.com","Physiotherapy","Pandya Bridge","gemini-ai"
"GoMechanic - Car Service & Repair - Tandalja","7030003000","","Auto Repair","Tandalja","gemini-ai"
"The Beauty Hub","9909907070","","Beauty Clinic","Tandalja","gemini-ai"
"Dr. Kinjal Desai's Skin & Hair Clinic","","drkinjaldesai@gmail.com","Skin Clinic","Lal Baug","gemini-ai"
"The Pickleball Court Vadodara","","pickleball.vadodara@email.com","Sports & Recreation","Panigate","gemini-ai"
"Panigate Pickleball & Racket Club","","panigateracketclub@email.com","Sports & Recreation","Panigate","gemini-ai"
"Carz Care Vadodara","","carzcarevadodara@gmail.com","Auto Repair","Fatehgunj","gemini-ai"
"The Sports Club","","info@thesportsclub.in","Sports & Recreation","Bhayli","gemini-ai"
"MS Dhoni Cricket Academy Vadodara","","vadodara@msdca.in","Sports & Recreation","Bhayli","gemini-ai"
"The Fitness Factory","","thefitnessfactory.vadodara@gmail.com","Gym & Fitness","Sama","gemini-ai"
"Elite Fitness Center","","elitefitness.sama@gmail.com","Gym & Fitness","Sama","gemini-ai"
"Dr. Rakesh Patel's Skin & Hair Clinic","","drrakeshpatelskinclinic@gmail.com","Skin Clinic","Waghodia Road","gemini-ai"
"The Sports Club","","info@thesportsclub.in","Sports & Recreation","Subhanpura","gemini-ai"
"Gold's Gym","","vadodara.makarpura@goldsgym.in","Gym & Fitness","Makarpura","gemini-ai"
"Dr. Patel's Pet Clinic & Pet Shop","","drpatelpetclinic@gmail.com","Veterinary Clinic","Harni","gemini-ai"
"The Eatery - Four Points by Sheraton","","eatery.vadodara@fourpoints.com","Restaurant & Cafe","Diwalipura","gemini-ai"
"Vets For Pets Animal Hospital","","vetsforpets.vadodara@gmail.com","Veterinary Clinic","New VIP Road","gemini-ai"
"Fitness First Gym","","vadodara@fitnessfirstindia.com","Sports & Recreation","Genda Circle","gemini-ai"
"Pet's Care Clinic","","petscareclinic.vadodara@gmail.com","Veterinary Clinic","Alkapuri","gemini-ai"
"Gold's Gym","","vadodara@goldsgymindia.com","Gym & Fitness","Karelibaug","gemini-ai"
"Looks Salon & Spa","","info@lookssalon.in","Salon & Spa","Gotri","gemini-ai"
"Dr. Jigar Patel's Pet Clinic & Pet Shop","","drjigarpatelpetclinic@gmail.com","Veterinary Clinic","Gotri","gemini-ai"
"The Sports Club Vadodara","","info@thesportsclub.in","Sports & Recreation","Gotri","gemini-ai"
"Vadodara Sports Academy","","info@vadodarasportsacademy.com","Sports & Recreation","Gotri","gemini-ai"
"Dr. Jigar Patel's Physio Care Clinic","9909988232","","Medical Clinic","Gotri","gemini-ai"
"Perfect Look Salon","9173012345","","Salon & Spa","Vasna","gemini-ai"
"Beauty Zone Salon","9300012345","","Salon & Spa","Vasna","gemini-ai"
"Glow Up Salon","9909098765","","Salon & Spa","Bhayli","gemini-ai"
"Chic & Classy Salon","9712398765","","Salon & Spa","Bhayli","gemini-ai"
"Beauty Zone Salon","9911298765","","Salon & Spa","Bhayli","gemini-ai"
"Lavish Looks Salon","9725098765","","Salon & Spa","Bhayli","gemini-ai"
"Maharaja Car Care","9327013131","","Auto Repair","Bhayli","gemini-ai"
"Car Doctor Workshop","9428016161","","Auto Repair","Bhayli","gemini-ai"
"Modern Car Service","9898019191","","Auto Repair","Bhayli","gemini-ai"
"Car Zone Workshop","9033021212","","Auto Repair","Bhayli","gemini-ai"
"Auto Care Point","9974024242","","Auto Repair","Bhayli","gemini-ai"
"Om Sai Auto Garage","9426028282","","Auto Repair","Bhayli","gemini-ai"
"Apex Auto Workshop","9662030303","","Auto Repair","Bhayli","gemini-ai"
"Vision Express","7969018420","","Optical Store","Bhayli","gemini-ai"
"The Beauty Hub","9099044460","","Salon & Spa","Manjalpur","gemini-ai"
"Netra Eye Hospital","9825046600","","Medical Clinic","Manjalpur","gemini-ai"
"Foodie's Hub","9909090909","","Cloud Kitchen","Manjalpur","gemini-ai"
"Looks Salon & Spa","9909904499","","Salon & Spa","Nizampura","gemini-ai"
"Car Care Point","9909900030","","Auto Repair","Nizampura","gemini-ai"
"The Sports Club Vadodara","","info@thesportsclubvadodara.com","Sports & Recreation","Nizampura","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9825049909","","Physiotherapy","Akota","gemini-ai"
"Tanishq Jewellery - Akota, Vadodara","","customercare@tanishq.co.in","Jewellers & Jewellery","Akota","gemini-ai"
"Kalyan Jewellers","","customercare@kalyanjewellers.net","Jewellers & Jewellery","Akota","gemini-ai"
"Joyalukkas Jewellery","","customercare@joyalukkas.com","Jewellers & Jewellery","Akota","gemini-ai"
"Enrich Salon & Academy","","vadodara.atlantis@enrichsalon.com","Salon & Spa","Race Course","gemini-ai"
"Vadodara Cricket Academy (VCA)","","info@vca.co.in","Sports & Recreation","Old Padra Road","gemini-ai"
"Dr. Rakesh Patel's Skin & Laser Clinic","","info@drrakeshpatel.com","Skin Clinic","Harni","gemini-ai"
"Fitness Zone Gym","","fitnesszoneharni@gmail.com","Gym & Fitness","Harni","gemini-ai"
"The Sports Club","","info@thesportsclub.in","Sports & Recreation","Sama Savli Road","gemini-ai"
"The Arena by The Sports Club","","info@thesportsclub.in","Sports & Recreation","Sama Savli Road","gemini-ai"
"Zen Yoga & Wellness","9909034567","","Gym & Fitness","Vasna Bhayli Road","gemini-ai"
"Mind Body Soul Yoga","9825078901","","Gym & Fitness","Vasna Bhayli Road","gemini-ai"
"The Grand Bhagwati (TGB)","","vadodara@tgbhotels.com","Restaurant & Cafe","Sun Pharma Road","gemini-ai"
"The Grand Thakar - TGB","","vadodara@tgbhotels.com","Restaurant & Cafe","Sun Pharma Road","gemini-ai"
"Sardar Patel Sports Complex","","spsc@vadodarasmc.in","Sports & Recreation","Sun Pharma Road","gemini-ai"
"Enrich Salon & Academy","","info@enrichsalon.com","Salon & Spa","Genda Circle","gemini-ai"
"Flavours - The Grand Bhagwati","","vadodara@tgbhotels.com","Restaurant & Cafe","Pandya Bridge","gemini-ai"
"Mandap - The Gateway Hotel Akota","","gateway.vadodara@tajhotels.com","Restaurant & Cafe","Pandya Bridge","gemini-ai"
"Shree Ghanshyam Jewellers","","ghanshyamjewellers@gmail.com","Jewellers & Jewellery","Pandya Bridge","gemini-ai"
"Vadodara Opticals","9125011223","","Optical Store","Panigate","gemini-ai"
"Vadodara Badminton Hub (Panigate)","","vadodarabadminton@email.com","Sports & Recreation","Panigate","gemini-ai"
"Premier Sports Turf Panigate","","premierturf.panigate@email.com","Sports & Recreation","Panigate","gemini-ai"
"Racket Masters Club","","racketmasters.club@email.com","Sports & Recreation","Panigate","gemini-ai"
"Ajay's Takeaway Food","9875061329","","Restaurant & Cafe","Fatehgunj","zomato-verified"
"Punjab 0KM","6283733525","","Restaurant & Cafe","Diwalipura","zomato"
"Barbeque Nation","","customercare@barbequenation.com","Restaurant & Cafe","Fatehgunj","gemini-ai"
"La Pino'z Pizza","","care@lapinozpizza.in","Restaurant & Cafe","Karelibaug","gemini-ai"
"Bosch Car Service - Auto Care Vadodara","","autocarevadodara@gmail.com","Auto Repair","Gotri","gemini-ai"
"Anytime Fitness Manjalpur","","manjalpur@anytimefitness.in","Gym & Fitness","Manjalpur","gemini-ai"
"The Grand Thakar","","info@thegrandthakar.com","Restaurant & Cafe","Nizampura","gemini-ai"
"Power House Gym","","powerhousegym.sama@gmail.com","Gym & Fitness","Sama","gemini-ai"
